,Név,Típus,Megye,Kistérség,Nép.,Irsz.
1623,Magyarnádalja,község,Vas,Körmendi,192,9909
1624,Magyarnándor,község,Nógrád,Balassagyarmati,1205,2694
1625,Magyarpolány,község,Veszprém,Ajkai,1184,8449
1626,Magyarsarlós,község,Baranya,Pécsi,339,7761
1627,Magyarszecsőd,község,Vas,Körmendi,485,9912
1628,Magyarszék,község,Baranya,Komlói,1138,7396
1629,Magyarszentmiklós,község,Zala,Nagykanizsai,277,8776
1630,Magyarszerdahely,község,Zala,Nagykanizsai,561,8776
1631,Magyarszombatfa,község,Vas,Őriszentpéteri,294,9946
1632,Magyartelek,község,Baranya,Sellyei,239,7954
1633,Majosháza,község,Pest,Ráckevei,1240,2339
1634,Majs,község,Baranya,Mohácsi,1095,7783
1635,Makád,község,Pest,Ráckevei,1306,2322
1636,Makkoshotyka,község,Borsod-Abaúj-Zemplén,Sárospataki,983,3959
1637,Maklár,község,Heves,Egri,2801,3397
1638,Makó,város,Csongrád,Makói,25534,6900
1639,Malomsok,község,Veszprém,Pápai,576,8533
1640,Mályi,község,Borsod-Abaúj-Zemplén,Miskolci,4209,3434
1641,Mályinka,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,562,3645
1642,Mánd,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,266,4942
1643,Mándok,város,Szabolcs-Szatmár-Bereg,Kisvárdai,4552,4644
1644,Mánfa,község,Baranya,Komlói,896,7304
1645,Mány,község,Fejér,Bicskei,2321,2065
1646,Maráza,község,Baranya,Mohácsi,207,7733
1647,Marcalgergelyi,község,Veszprém,Pápai,450,9534
1648,Marcali,város,Somogy,Marcali,12550,8700
1649,Marcaltő,község,Veszprém,Pápai,876,8532
1650,Márfa,község,Baranya,Siklósi,225,7817
1651,Máriahalom,község,Komárom-Esztergom,Dorogi,667,2527
1652,Máriakálnok,község,Győr-Moson-Sopron,Mosonmagyaróvári,1483,9231
1653,Máriakéménd,község,Baranya,Mohácsi,548,7663
1654,Márianosztra,község,Pest,Szobi,968,2629
1655,Máriapócs,város,Szabolcs-Szatmár-Bereg,Nyírbátori,2172,4326
1656,Markaz,község,Heves,Gyöngyösi,2561,3262
1657,Márkháza,község,Nógrád,Bátonyterenyei,237,3075
1658,Márkó,község,Veszprém,Veszprémi,1141,8441
1659,Markóc,község,Baranya,Sellyei,57,7967
1660,Markotabödöge,község,Győr-Moson-Sopron,Csornai,499,9164
1661,Maróc,község,Zala,Letenyei,119,8888
1662,Marócsa,község,Baranya,Sellyei,123,7960
1663,Márok,község,Baranya,Siklósi,529,7774
1664,Márokföld,község,Zala,Lenti,51,8976
1665,Márokpapi,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,456,4932
1666,Maroslele,község,Csongrád,Makói,2217,6921
1667,Mártély,község,Csongrád,Hódmezővásárhelyi,1342,6636
1668,Martfű,város,Jász-Nagykun-Szolnok,Szolnoki,7313,5435
1669,Martonfa,község,Baranya,Pécsváradi,205,7720
1670,Martonvásár,város,Fejér,Ercsi,5275,2462
1671,Martonyi,község,Borsod-Abaúj-Zemplén,Edelényi,560,3755
1672,Mátészalka,város,Szabolcs-Szatmár-Bereg,Mátészalkai,18558,4700
1673,Mátételke,község,Bács-Kiskun,Bácsalmási,616,6452
1674,Mátraballa,község,Heves,Pétervásárai,2635,3247
1675,Mátraderecske,község,Heves,Pétervásárai,1399,3246
1676,Mátramindszent,község,Nógrád,Bátonyterenyei,925,3155
1677,Mátranovák,község,Nógrád,Bátonyterenyei,1986,3143
1678,Mátraszele,község,Nógrád,Salgótarjáni,1071,3142
1679,Mátraszentimre,község,Heves,Gyöngyösi,2129,3235
1680,Mátraszőlős,község,Nógrád,Pásztói,1703,3068
1681,Mátraterenye,község,Nógrád,Bátonyterenyei,2011,3145
1682,Mátraverebély,község,Nógrád,Bátonyterenyei,2252,3077
1683,Mátyásdomb,község,Fejér,Enyingi,803,8134
1684,Matty,község,Baranya,Siklósi,383,7854
1685,Mátyus,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,373,4835
1686,Máza,község,Baranya,Komlói,1393,7351
1687,Mecseknádasd,község,Baranya,Pécsváradi,1660,7695
1688,Mecsekpölöske,község,Baranya,Komlói,459,7300
1689,Mecsér,község,Győr-Moson-Sopron,Mosonmagyaróvári,630,9176
1690,Medgyesbodzás,község,Békés,Mezőkovácsházi,1217,5663
1691,Medgyesegyháza,város,Békés,Mezőkovácsházi,4104,5666
1692,Medina,község,Tolna,Szekszárdi,891,7057
1693,Megyaszó,község,Borsod-Abaúj-Zemplén,Szerencsi,3118,3718
1694,Megyehíd,község,Vas,Sárvári,320,9754
1695,Megyer,község,Veszprém,Sümegi,48,8348
1696,Meggyeskovácsi,község,Vas,Sárvári,779,9757
1697,Méhkerék,község,Békés,Sarkadi,2313,5726
1698,Méhtelek,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,765,4975
1699,Mekényes,község,Baranya,Sásdi,303,7344
1700,Mélykút,város,Bács-Kiskun,Jánoshalmi,5744,6449
1701,Mencshely,község,Veszprém,Veszprémi,272,8271
1702,Mende,község,Pest,Nagykátai,4144,2235
1703,Méra,község,Borsod-Abaúj-Zemplén,Encsi,1826,3871
1704,Merenye,község,Baranya,Szigetvári,319,7981
1705,Mérges,község,Győr-Moson-Sopron,Téti,79,9136
1706,Mérk,nagyközség,Szabolcs-Szatmár-Bereg,Mátészalkai,2328,4352
1707,Mernye,község,Somogy,Kaposvári,1601,7453
1708,Mersevát,község,Vas,Celldömölki,588,9531
1709,Mesterháza,község,Vas,Csepregi,175,9662
1710,Mesteri,község,Vas,Celldömölki,286,9551
1711,Mesterszállás,község,Jász-Nagykun-Szolnok,Mezőtúri,805,5452
1712,Meszes,község,Borsod-Abaúj-Zemplén,Edelényi,218,3754
1713,Meszlen,község,Vas,Szombathelyi,232,9745
1714,Mesztegnyő,község,Somogy,Marcali,1464,8716
1715,Mezőberény,város,Békés,Békési,11591,5650
1716,Mezőcsát,város,Borsod-Abaúj-Zemplén,Mezőcsáti,6594,3450
1717,Mezőcsokonya,község,Somogy,Kaposvári,1224,7434
1718,Meződ,község,Baranya,Sásdi,149,7370
1719,Mezőfalva,nagyközség,Fejér,Dunaújvárosi,4908,2422
1720,Mezőgyán,község,Békés,Sarkadi,1277,5732
1721,Mezőhegyes,város,Békés,Mezőkovácsházi,6262,5820
1722,Mezőhék,község,Jász-Nagykun-Szolnok,Mezőtúri,390,5453
1723,Mezőkeresztes,város,Borsod-Abaúj-Zemplén,Mezőkövesdi,4265,3441
1724,Mezőkomárom,község,Fejér,Enyingi,1063,8137
1725,Mezőkovácsháza,város,Békés,Mezőkovácsházi,6945,5800
1726,Mezőkövesd,város,Borsod-Abaúj-Zemplén,Mezőkövesdi,17841,3400
1727,Mezőladány,község,Szabolcs-Szatmár-Bereg,Kisvárdai,1024,4641
1728,Mezőlak,község,Veszprém,Pápai,1076,8514
1729,Mezőnagymihály,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,1203,3443
1730,Mezőnyárád,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,1724,3421
1731,Mezőörs,község,Győr-Moson-Sopron,Győri,1005,9097
1732,Mezőpeterd,község,Hajdú-Bihar,Berettyóújfalui,578,4118
1733,Mezősas,község,Hajdú-Bihar,Berettyóújfalui,648,4134
1734,Mezőszemere,község,Heves,Füzesabonyi,2148,3378
1735,Mezőszentgyörgy,község,Fejér,Enyingi,1376,8133
1736,Mezőszilas,község,Fejér,Sárbogárdi,2340,7017
1737,Mezőtárkány,község,Heves,Füzesabonyi,4064,3375
1738,Mezőtúr,város,Jász-Nagykun-Szolnok,Mezőtúri,19284,5400
1739,Mezőzombor,község,Borsod-Abaúj-Zemplén,Szerencsi,2591,3931
1740,Miháld,község,Zala,Nagykanizsai,921,8825
1741,Mihályfa,község,Zala,Zalaszentgróti,415,8341
1742,Mihálygerge,község,Nógrád,Salgótarjáni,683,3184
1743,Mihályháza,község,Veszprém,Pápai,839,8513
1744,Mihályi,község,Győr-Moson-Sopron,Kapuvári,1149,9342
1745,Mike,község,Somogy,Kaposvári,722,7512
1746,Mikebuda,község,Pest,Ceglédi,812,2736
1747,Mikekarácsonyfa,község,Zala,Lenti,255,8949
1748,Mikepércs,község,Hajdú-Bihar,Derecske–Létavértesi,3520,4271
1749,Miklósi,község,Somogy,Tabi,254,8669
1750,Mikófalva,község,Heves,Bélapátfalvai,1441,3344
1751,Mikóháza,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,605,3989
1752,Mikosszéplak,község,Vas,Vasvári,335,9835
1753,Milejszeg,község,Zala,Zalaegerszegi,411,8917
1754,Milota,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,868,4948
1755,Mindszent,város,Csongrád,Hódmezővásárhelyi,7387,6630
1756,Mindszentgodisa,község,Baranya,Sásdi,1017,7391
1757,Mindszentkálla,község,Veszprém,Tapolcai,327,8282
1758,Misefa,község,Zala,Zalaegerszegi,298,8935
1759,Miske,község,Bács-Kiskun,Kalocsai,1868,6343
1760,Miskolc,"mszékh., m.jog",Borsod-Abaúj-Zemplén,Miskolci,175701,3500
1761,Miszla,község,Tolna,Tamási,347,7065
1762,Mocsa,község,Komárom-Esztergom,Komáromi,2299,2911
1763,Mogyoród,nagyközség,Pest,Gödöllői,4988,2146
1764,Mogyorósbánya,község,Komárom-Esztergom,Esztergomi,877,2535
1765,Mogyoróska,község,Borsod-Abaúj-Zemplén,Abaúj–Hegyközi,73,3893
1766,Moha,község,Fejér,Székesfehérvári,425,8042
1767,Mohács,város,Baranya,Mohácsi,19049,7700
1768,Mohora,község,Nógrád,Balassagyarmati,983,2698
1769,Molnári,község,Zala,Letenyei,782,8863
1770,Molnaszecsőd,község,Vas,Körmendi,415,9912
1771,Molvány,község,Baranya,Szigetvári,231,7981
1772,Monaj,község,Borsod-Abaúj-Zemplén,Szikszói,307,3812
1773,Monok,község,Borsod-Abaúj-Zemplén,Szerencsi,1791,3905
1774,Monor,város,Pest,Monori,21227,2200
1775,Monorierdő,község,Pest,Monori,3927,2213
1776,Mónosbél,község,Heves,Bélapátfalvai,1378,3345
1777,Monostorapáti,község,Veszprém,Tapolcai,1095,8296
1778,Monostorpályi,község,Hajdú-Bihar,Derecske–Létavértesi,2236,4275
1779,Monoszló,község,Veszprém,Balatonfüredi,162,8273
1780,Monyoród,község,Baranya,Mohácsi,207,7751
1781,Mór,város,Fejér,Móri,14796,8060
1782,Mórágy,község,Tolna,Bonyhádi,786,7165
1783,Mórahalom,város,Csongrád,Mórahalmi,5643,6782
1784,Móricgát,község,Bács-Kiskun,Kiskunfélegyházi,572,6132
1785,Mórichida,község,Győr-Moson-Sopron,Téti,860,9131
1786,Mosdós,község,Somogy,Kaposvári,1110,7257
1787,Mosonmagyaróvár,város,Győr-Moson-Sopron,Mosonmagyaróvári,30283,9200
1788,Mosonszentmiklós,község,Győr-Moson-Sopron,Mosonmagyaróvári,2496,9154
1789,Mosonszolnok,község,Győr-Moson-Sopron,Mosonmagyaróvári,1585,9245
1790,Mosonudvar,község,Győr-Moson-Sopron,Mosonmagyaróvári,467,9246
1791,Mozsgó,község,Baranya,Szigetvári,1132,7932
1792,Mőcsény,község,Tolna,Bonyhádi,387,7163
1793,Mucsfa,község,Tolna,Bonyhádi,428,7185
1794,Mucsi,község,Tolna,Tamási,558,7195
1795,Múcsony,nagyközség,Borsod-Abaúj-Zemplén,Kazincbarcikai,3486,3744
1796,Muhi,község,Borsod-Abaúj-Zemplén,Miskolci,549,3552
1797,Murakeresztúr,község,Zala,Nagykanizsai,1975,8834
1798,Murarátka,község,Zala,Letenyei,286,8868
1799,Muraszemenye,község,Zala,Letenyei,652,8872
1800,Murga,község,Tolna,Szekszárdi,84,7176
1801,Murony,község,Békés,Békési,1454,5672
1802,Nábrád,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,958,4911
1803,Nadap,község,Fejér,Gárdonyi,457,8097
1804,Nádasd,község,Vas,Körmendi,1337,9915
1805,Nádasdladány,község,Fejér,Székesfehérvári,1870,8145
1806,Nádudvar,város,Hajdú-Bihar,Püspökladányi,9260,4181
1807,Nágocs,község,Somogy,Tabi,704,8674
1808,Nagyacsád,község,Veszprém,Pápai,731,8521
1809,Nagyalásony,község,Veszprém,Ajkai,516,8484
1810,Nagyar,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,730,4922
1811,Nagyatád,város,Somogy,Nagyatádi,12020,7500
1812,Nagybajcs,község,Győr-Moson-Sopron,Győri,865,9063
1813,Nagybajom,város,Somogy,Kaposvári,3664,7561
1814,Nagybakónak,község,Zala,Nagykanizsai,485,8821
1815,Nagybánhegyes,község,Békés,Mezőkovácsházi,1474,5668
1816,Nagybaracska,község,Bács-Kiskun,Bajai,2438,6527
1817,Nagybarca,község,Borsod-Abaúj-Zemplén,Kazincbarcikai,979,3641
1818,Nagybárkány,község,Nógrád,Bátonyterenyei,699,3075
1819,Nagyberény,község,Somogy,Siófoki,1434,8656
1820,Nagyberki,község,Somogy,Kaposvári,1551,7255
1821,Nagybörzsöny,község,Pest,Szobi,871,2634
1822,Nagybudmér,község,Baranya,Mohácsi,251,7756
1823,Nagycenk,nagyközség,Győr-Moson-Sopron,Sopron–Fertődi,1829,9485
1824,Nagycsány,község,Baranya,Sellyei,164,7964
1825,Nagycsécs,község,Borsod-Abaúj-Zemplén,Tiszaújvárosi,910,3598
1826,Nagycsepely,község,Somogy,Balatonföldvári,399,8628
1827,Nagycserkesz,község,Szabolcs-Szatmár-Bereg,Nyíregyházai,1875,4445
1828,Nagydém,község,Veszprém,Pápai,421,8554
1829,Nagydobos,község,Szabolcs-Szatmár-Bereg,Mátészalkai,2280,4823
1830,Nagydobsza,község,Baranya,Szigetvári,680,7985
1831,Nagydorog,nagyközség,Tolna,Paksi,2814,7044
1832,Nagyecsed,város,Szabolcs-Szatmár-Bereg,Mátészalkai,6868,4355
1833,Nagyér,község,Csongrád,Makói,615,6917
1834,Nagyesztergár,község,Veszprém,Zirci,1249,8415
1835,Nagyfüged,község,Heves,Gyöngyösi,2751,3282
1836,Nagygeresd,község,Vas,Csepregi,290,9664
1837,Nagygörbő,község,Zala,Zalaszentgróti,232,8356
1838,Nagygyimót,község,Veszprém,Pápai,598,8551
1839,Nagyhajmás,község,Baranya,Sásdi,423,7343
1840,Nagyhalász,város,Szabolcs-Szatmár-Bereg,Ibrány–Nagyhalászi,5963,4485
1841,Nagyharsány,község,Baranya,Siklósi,1731,7822
1842,Nagyhegyes,község,Hajdú-Bihar,Hajdúszoboszlói,2710,4064
1843,Nagyhódos,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,131,4977
1844,Nagyhuta,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,88,3994
1845,Nagyigmánd,nagyközség,Komárom-Esztergom,Komáromi,3154,2942
1846,Nagyiván,község,Jász-Nagykun-Szolnok,Tiszafüredi,1234,5363
1847,Nagykálló,város,Szabolcs-Szatmár-Bereg,Nagykállói,10726,4320
1848,Nagykamarás,község,Békés,Mezőkovácsházi,1657,5751
1849,Nagykanizsa,m.jog. város,Zala,Nagykanizsai,51788,8800
1850,Nagykapornak,község,Zala,Zalaegerszegi,944,8935
1851,Nagykarácsony,község,Fejér,Dunaújvárosi,1551,2425
1852,Nagykáta,város,Pest,Nagykátai,12991,2760
1853,Nagykereki,község,Hajdú-Bihar,Berettyóújfalui,1384,4127
1854,Nagykeresztúr,község,Nógrád,Bátonyterenyei,305,3129
1855,Nagykinizs,község,Borsod-Abaúj-Zemplén,Szikszói,353,3844
1856,Nagykónyi,község,Tolna,Tamási,1267,7092
1857,Nagykorpád,község,Somogy,Nagyatádi,647,7545
1858,Nagykovácsi,nagyközség,Pest,Pilisvörösvári,4848,2094
1859,Nagykozár,község,Baranya,Pécsi,1387,7741
1860,Nagykökényes,község,Heves,Hatvani,1728,3012
1861,Nagykölked,község,Vas,Körmendi,152,9784
1862,Nagykőrös,város,Pest,Ceglédi,25657,2750
1863,Nagykörű,község,Jász-Nagykun-Szolnok,Szolnoki,1725,5065
1864,Nagykutas,község,Zala,Zalaegerszegi,466,8911
1865,Nagylak,község,Csongrád,Makói,611,6933
1866,Nagylengyel,község,Zala,Zalaegerszegi,479,8983
1867,Nagylóc,község,Nógrád,Szécsényi,1751,3175
1868,Nagylók,község,Fejér,Sárbogárdi,1151,2435
1869,Nagylózs,község,Győr-Moson-Sopron,Sopron–Fertődi,898,9482
1870,Nagymágocs,nagyközség,Csongrád,Szentesi,3466,6622
1871,Nagymányok,város,Tolna,Bonyhádi,2510,7355
1872,Nagymaros,város,Pest,Váci,4469,2626
1873,Nagymizdó,község,Vas,Körmendi,143,9913
1874,Nagynyárád,község,Baranya,Mohácsi,865,7784
1875,Nagyoroszi,község,Nógrád,Rétsági,2283,2645
1876,Nagypáli,község,Zala,Zalaegerszegi,318,8912
1877,Nagypall,község,Baranya,Pécsváradi,444,7731
1878,Nagypeterd,község,Baranya,Szigetvári,696,7912
1879,Nagypirit,község,Veszprém,Ajkai,325,8496
1880,Nagyrábé,nagyközség,Hajdú-Bihar,Püspökladányi,2351,4173
1881,Nagyrada,község,Zala,Nagykanizsai,552,8746
1882,Nagyrákos,község,Vas,Őriszentpéteri,319,9938
1883,Nagyrécse,község,Zala,Nagykanizsai,1057,8756
1884,Nagyréde,nagyközség,Heves,Gyöngyösi,3434,3214
1885,Nagyrév,község,Jász-Nagykun-Szolnok,Kunszentmártoni,856,5463
1886,Nagyrozvágy,község,Borsod-Abaúj-Zemplén,Bodrogközi,739,3965
1887,Nagysáp,község,Komárom-Esztergom,Dorogi,1547,2524
1888,Nagysimonyi,község,Vas,Celldömölki,985,9561
1889,Nagyszakácsi,község,Somogy,Marcali,490,8739
1890,Nagyszékely,község,Tolna,Tamási,500,7085
1891,Nagyszekeres,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,543,4962
1892,Nagyszénás,nagyközség,Békés,Orosházi,5691,5931
1893,Nagyszentjános,község,Győr-Moson-Sopron,Győri,1882,9072
1894,Nagyszokoly,község,Tolna,Tamási,984,7097
1895,Nagytálya,község,Heves,Egri,1319,3398
1896,Nagytarcsa,község,Pest,Gödöllői,2818,2142
1897,Nagytevel,község,Veszprém,Pápai,544,8562
1898,Nagytilaj,község,Vas,Vasvári,183,9832
1899,Nagytótfalu,község,Baranya,Siklósi,392,7800
1900,Nagytőke,község,Csongrád,Szentesi,520,6612
1901,Nagyút,község,Heves,Füzesabonyi,1894,3357
1902,Nagyvarsány,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,1599,4812
1903,Nagyváty,község,Baranya,Szigetvári,354,7940
1904,Nagyvázsony,község,Veszprém,Veszprémi,1803,8291
1905,Nagyvejke,község,Tolna,Bonyhádi,200,7186
1906,Nagyveleg,község,Fejér,Móri,720,8065
1907,Nagyvenyim,község,Fejér,Dunaújvárosi,4027,2421
1908,Nagyvisnyó,község,Heves,Bélapátfalvai,4302,3349
1909,Nak,község,Tolna,Dombóvári,679,7215
1910,Napkor,község,Szabolcs-Szatmár-Bereg,Nyíregyházai,3789,4552
1911,Nárai,község,Vas,Szombathelyi,1083,9797
1912,Narda,község,Vas,Szombathelyi,517,9793
1913,Naszály,község,Komárom-Esztergom,Tatai,2263,2899
1914,Négyes,község,Borsod-Abaúj-Zemplén,Mezőkövesdi,287,3463
1915,Nekézseny,község,Borsod-Abaúj-Zemplén,Ózdi,906,3646
1916,Nemesapáti,község,Zala,Zalaegerszegi,547,8923
1917,Nemesbikk,község,Borsod-Abaúj-Zemplén,Tiszaújvárosi,1055,3592
1918,Nemesborzova,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,103,4942
1919,Nemesbőd,község,Vas,Szombathelyi,637,9749
1920,Nemesbük,község,Zala,Keszthely–Hévízi,598,8371
1921,Nemescsó,község,Vas,Kőszegi,314,9739
1922,Nemesdéd,község,Somogy,Marcali,756,8722
1923,Nemesgörzsöny,község,Veszprém,Pápai,776,8522
1924,Nemesgulács,község,Veszprém,Tapolcai,1050,8284
1925,Nemeshany,község,Veszprém,Sümegi,444,8471
1926,Nemeshetés,község,Zala,Zalaegerszegi,320,8925
1927,Nemeske,község,Baranya,Szigetvári,298,7981
1928,Nemeskér,község,Győr-Moson-Sopron,Sopron–Fertődi,234,9471
1929,Nemeskeresztúr,község,Vas,Celldömölki,307,9548
1930,Nemeskisfalud,község,Somogy,Marcali,58,8717
1931,Nemeskocs,község,Vas,Celldömölki,376,9542
1932,Nemeskolta,község,Vas,Szombathelyi,374,9775
1933,Nemesládony,község,Vas,Csepregi,130,9663
1934,Nemesmedves,község,Vas,Szentgotthárdi,20,9953
1935,Nemesnádudvar,község,Bács-Kiskun,Bajai,2030,6345
1936,Nemesnép,község,Zala,Lenti,146,8976
1937,Nemespátró,község,Zala,Nagykanizsai,360,8856
1938,Nemesrádó,község,Zala,Zalaegerszegi,343,8915
1939,Nemesrempehollós,község,Vas,Körmendi,299,9782
1940,Nemessándorháza,község,Zala,Zalaegerszegi,318,8925
1941,Nemesvámos,község,Veszprém,Veszprémi,2562,8248
1942,Nemesvid,község,Somogy,Marcali,858,8738
1943,Nemesvita,község,Veszprém,Tapolcai,400,8311
1944,Nemesszalók,község,Veszprém,Pápai,1007,9533
1945,Nemesszentandrás,község,Zala,Zalaegerszegi,281,8925
1946,Németbánya,község,Veszprém,Pápai,91,8581
1947,Németfalu,község,Zala,Zalaegerszegi,214,8918
1948,Németkér,község,Tolna,Paksi,1918,7039
1949,Nemti,község,Nógrád,Bátonyterenyei,809,3152
1950,Neszmély,község,Komárom-Esztergom,Tatai,1440,2544
1951,Nézsa,község,Nógrád,Rétsági,1149,2618
1952,Nick,község,Vas,Sárvári,549,9652
1953,Nikla,község,Somogy,Marcali,742,8706
1954,Nógrád,község,Nógrád,Rétsági,1582,2642
1955,Nógrádkövesd,község,Nógrád,Balassagyarmati,758,2691
1956,Nógrádmarcal,község,Nógrád,Balassagyarmati,567,2675
1957,Nógrádmegyer,község,Nógrád,Szécsényi,1786,3132
1958,Nógrádsáp,község,Nógrád,Rétsági,924,2685
1959,Nógrádsipek,község,Nógrád,Szécsényi,744,3179
1960,Nógrádszakál,község,Nógrád,Szécsényi,661,3187
1961,Nóráp,község,Veszprém,Pápai,225,8591
1962,Noszlop,község,Veszprém,Ajkai,1110,8456
1963,Noszvaj,község,Heves,Egri,1884,3325
1964,Nova,község,Zala,Lenti,861,8948
1965,Novaj,község,Heves,Egri,1852,3327
1966,Novajidrány,község,Borsod-Abaúj-Zemplén,Encsi,1462,3872
1967,Nőtincs,község,Nógrád,Rétsági,1195,2610
1968,Nyalka,község,Győr-Moson-Sopron,Pannonhalmi,449,9096
1969,Nyárád,község,Veszprém,Pápai,969,8512
1970,Nyáregyháza,község,Pest,Monori,3748,2723
1971,Nyárlőrinc,község,Bács-Kiskun,Kecskeméti,2398,6032
1972,Nyársapát,község,Pest,Ceglédi,1756,2712
1973,Nyékládháza,város,Borsod-Abaúj-Zemplén,Miskolci,4957,3433
1974,Nyergesújfalu,város,Komárom-Esztergom,Esztergomi,7676,2536
1975,Nyésta,község,Borsod-Abaúj-Zemplén,Szikszói,70,3809
1976,Nyim,község,Somogy,Siófoki,311,8612
1977,Nyírábrány,nagyközség,Hajdú-Bihar,Hajdúhadházi,3983,4264
1978,Nyíracsád,község,Hajdú-Bihar,Hajdúhadházi,4060,4262
1979,Nyirád,község,Veszprém,Ajkai,1888,8454
1980,Nyíradony,város,Hajdú-Bihar,Hajdúhadházi,7933,4254
1981,Nyírbátor,város,Szabolcs-Szatmár-Bereg,Nyírbátori,13389,4300
1982,Nyírbéltek,nagyközség,Szabolcs-Szatmár-Bereg,Nyírbátori,2997,4372
1983,Nyírbogát,nagyközség,Szabolcs-Szatmár-Bereg,Nyírbátori,3334,4361
1984,Nyírbogdány,község,Szabolcs-Szatmár-Bereg,Ibrány–Nagyhalászi,3060,4511
1985,Nyírcsaholy,község,Szabolcs-Szatmár-Bereg,Mátészalkai,2240,4356
1986,Nyírcsászári,község,Szabolcs-Szatmár-Bereg,Nyírbátori,1256,4331
1987,Nyírderzs,község,Szabolcs-Szatmár-Bereg,Nyírbátori,623,4332
1988,Nyíregyháza,"mszékh., m.jog",Szabolcs-Szatmár-Bereg,Nyíregyházai,116899,4400
1989,Nyírgelse,község,Szabolcs-Szatmár-Bereg,Nyírbátori,1178,4362
1990,Nyírgyulaj,község,Szabolcs-Szatmár-Bereg,Nyírbátori,2116,4311
1991,Nyíri,község,Borsod-Abaúj-Zemplén,Sátoraljaújhelyi,447,3998
1992,Nyíribrony,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,1146,4535
1993,Nyírjákó,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,972,4541
1994,Nyírkarász,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,2383,4544
1995,Nyírkáta,község,Szabolcs-Szatmár-Bereg,Mátészalkai,1827,4333
1996,Nyírkércs,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,829,4537
1997,Nyírlövő,község,Szabolcs-Szatmár-Bereg,Kisvárdai,742,4632
1998,Nyírlugos,város,Szabolcs-Szatmár-Bereg,Nyírbátori,2969,4371
1999,Nyírmada,város,Szabolcs-Szatmár-Bereg,Baktalórántházai,4771,4564
2000,Nyírmártonfalva,község,Hajdú-Bihar,Hajdúhadházi,2137,4263
2001,Nyírmeggyes,község,Szabolcs-Szatmár-Bereg,Mátészalkai,2712,4722
2002,Nyírmihálydi,község,Szabolcs-Szatmár-Bereg,Nyírbátori,2019,4363
2003,Nyírparasznya,község,Szabolcs-Szatmár-Bereg,Mátészalkai,941,4822
2004,Nyírpazony,nagyközség,Szabolcs-Szatmár-Bereg,Nyíregyházai,3230,4531
2005,Nyírpilis,község,Szabolcs-Szatmár-Bereg,Nyírbátori,698,4376
2006,Nyírtass,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,2183,4522
2007,Nyírtelek,város,Szabolcs-Szatmár-Bereg,Nyíregyházai,7146,4461
2008,Nyírtét,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,1122,4554
2009,Nyírtura,község,Szabolcs-Szatmár-Bereg,Nyíregyházai,1794,4532
2010,Nyírvasvári,község,Szabolcs-Szatmár-Bereg,Nyírbátori,1959,4341
2011,Nyomár,község,Borsod-Abaúj-Zemplén,Edelényi,313,3795
2012,Nyőgér,község,Vas,Sárvári,347,9682
2013,Nyugotszenterzsébet,község,Baranya,Szigetvári,241,7912
2014,Nyúl,község,Győr-Moson-Sopron,Győri,3866,9082
2015,Óbánya,község,Baranya,Pécsváradi,155,7695
2016,Óbarok,község,Fejér,Bicskei,796,2063
2017,Óbudavár,község,Veszprém,Balatonfüredi,56,8272
2018,Ócsa,város,Pest,Gyáli,8791,2364
2019,Ócsárd,község,Baranya,Pécsi,430,7814
2020,Ófalu,község,Baranya,Pécsváradi,346,7695
2021,Ófehértó,község,Szabolcs-Szatmár-Bereg,Baktalórántházai,2746,4558
2022,Óföldeák,község,Csongrád,Makói,507,6923
2023,Óhíd,község,Zala,Zalaszentgróti,651,8342
2024,Okány,község,Békés,Sarkadi,2984,5534
2025,Okorág,község,Baranya,Sellyei,181,7957
2026,Okorvölgy,község,Baranya,Szentlőrinci,94,7681
2027,Olasz,község,Baranya,Mohácsi,623,7745
2028,Olaszfa,község,Vas,Vasvári,492,9824
2029,Olaszfalu,község,Veszprém,Zirci,1116,8414
2030,Olaszliszka,község,Borsod-Abaúj-Zemplén,Sárospataki,1802,3933
2031,Olcsva,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,732,4826
2032,Olcsvaapáti,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,335,4914
