,Név,Típus,Megye,Kistérség,Nép.,Irsz.
2848,Tiszavasvári,város,Szabolcs-Szatmár-Bereg,Tiszavasvári,13583,4440
2849,Tiszavid,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,509,4832
2850,Tisztaberek,község,Szabolcs-Szatmár-Bereg,Fehérgyarmati,665,4969
2851,Tivadar,község,Szabolcs-Szatmár-Bereg,Vásárosnaményi,228,4921
2852,Tóalmás,község,Pest,Nagykátai,3370,2252
2853,Tófalu,község,Heves,Füzesabonyi,582,3354
2854,Tófej,község,Zala,Zalaegerszegi,710,8946
2855,Tófű,község,Baranya,Komlói,127,7348
2856,Tokaj,város,Borsod-Abaúj-Zemplén,Tokaji,5009,3910
2857,Tokod,nagyközség,Komárom-Esztergom,Dorogi,4317,2531
2858,Tokodaltáró,község,Komárom-Esztergom,Dorogi,3134,2532
2859,Tokorcs,község,Vas,Celldömölki,297,9561
2860,Tolcsva,község,Borsod-Abaúj-Zemplén,Sárospataki,1997,3934
2861,Told,község,Hajdú-Bihar,Berettyóújfalui,387,4117
2862,Tolmács,község,Nógrád,Rétsági,758,2657
2863,Tolna,város,Tolna,Szekszárdi,12184,7130
2864,Tolnanémedi,község,Tolna,Tamási,1263,7083
2865,Tomajmonostora,község,Jász-Nagykun-Szolnok,Tiszafüredi,769,5324
2866,Tomor,község,Borsod-Abaúj-Zemplén,Edelényi,279,3787
2867,Tompa,város,Bács-Kiskun,Kiskunhalasi,4892,6422
2868,Tompaládony,község,Vas,Csepregi,334,9662
2869,Tordas,község,Fejér,Ercsi,1764,2463
2870,Tormafölde,község,Zala,Lenti,425,8876
2871,Tormás,község,Baranya,Sásdi,344,7383
2872,Tormásliget,község,Vas,Csepregi,357,9736
2873,Tornabarakony,község,Borsod-Abaúj-Zemplén,Edelényi,30,3765
2874,Tornakápolna,község,Borsod-Abaúj-Zemplén,Edelényi,15,3761
2875,Tornanádaska,község,Borsod-Abaúj-Zemplén,Edelényi,603,3767
2876,Tornaszentandrás,község,Borsod-Abaúj-Zemplén,Edelényi,273,3765
2877,Tornaszentjakab,község,Borsod-Abaúj-Zemplén,Edelényi,260,3769
2878,Tornyiszentmiklós,község,Zala,Lenti,697,8877
2879,Tornyosnémeti,község,Borsod-Abaúj-Zemplén,Abaúj–Hegyközi,604,3877
2880,Tornyospálca,község,Szabolcs-Szatmár-Bereg,Kisvárdai,2707,4642
2881,Torony,község,Vas,Szombathelyi,1604,9791
2882,Torvaj,község,Somogy,Tabi,317,8660
2883,Tószeg,község,Jász-Nagykun-Szolnok,Szolnoki,4714,5091
2884,Tótkomlós,város,Békés,Orosházi,6615,5940
2885,Tótszentgyörgy,község,Baranya,Szigetvári,182,7981
2886,Tótszentmárton,község,Zala,Letenyei,922,8865
2887,Tótszerdahely,község,Zala,Letenyei,1304,8864
2888,Tótújfalu,község,Somogy,Barcsi,247,7918
2889,Tótvázsony,község,Veszprém,Veszprémi,1175,8246
2890,Tök,község,Pest,Pilisvörösvári,1329,2073
